Work Type,Work Order #,Address,Street,Cross Street,Results,Completion Date,Work Order Date
SEWER MAINTENANCE,2015003301,,MINA DR,,"CHAIN PENDING. MONITOR FLOATABLES UPSTREAM OF THE NETTING CHAMBER. WEATHER CONDITIONS CLOUDY, LT. RAIN.",6/2/2015,6/2/2015
SEWER MAINTENANCE,2015003277,,MILL CREEK,,NOT SCHEDULED GREASED EQUIPMENT. UTILIZE SHOVEL RO REMOVE DEBRIS AND FLOATABLES OFF GRATING ALSO OFF HANDRAILING CHAIN HINGES NO VAC AT PLANT FIXING FLOAT TIRES RETURN TO WASHED DOWN. ,6/2/2015,6/2/2015
SEWER MAINTENANCE,2015003280,,CLAREMONT AVE,CARTERET AVE,"NOT SCHEDULED GREASED EQUIPMENT. UTILIZE SHOVEL RO REMOVE DEBRIS AND FLOATABLES OFF GRATING ALSO OFF HANDRAILING CHAIN HINGES NO VAC AT PLANT FIXING FLOAT TIRES RETURN TO WASHED DOWN. UNDERWATER SHUTTER, BOLTS AND BARSCREEN. NO HANDRAIL.  ",6/2/2015,6/2/2015
SEWER MAINTENANCE,2015003282,,RICHARD ST,,"NO BARSCREEN, GRATING, HANDRAIL OR CONCRETE SLAB.  EXERCISE REGULATOR REMOVED DEBRIS OFF LADDER ALSO OFF HINGE POINTS AND SHUTTER ALSO WASHED DOWN PIT & CHAMBER. ",6/2/2015,6/2/2015
SEWER MAINTENANCE,2015003283,,BROWN PL,,NOT SCHEDULED GREASED EQUIPMENT. UTILIZE SHOVEL RO REMOVE DEBRIS AND FLOATABLES OFF GRATING ALSO OFF HANDRAILING CHAIN HINGES NO VAC AT PLANT FIXING FLOAT TIRES RETURN TO WASHED DOWN. NOTE: DELAYED IN TIME METER KEPT GOING OFF ATMOSPHERE SMELL LIKE GAS AL,6/2/2015,6/2/2015
SEWER MAINTENANCE,2015003285,,GRAND ST,,NOT SCHEDULED GREASED EQUIPMENT. UTILIZE SHOVEL RO REMOVE DEBRIS AND FLOATABLES OFF GRATING ALSO OFF HANDRAILING CHAIN HINGES NO VAC AT PLANT FIXING FLOAT TIRES RETURN TO WASHED DOWN. NO HANDRAIL. ,6/2/2015,6/2/2015
SEWER MAINTENANCE,2015003287,,YORK ST,,NOT SCHEDULED GREASED EQUIPMENT. UTILIZE SHOVEL RO REMOVE DEBRIS AND FLOATABLES OFF GRATING ALSO OFF HANDRAILING CHAIN HINGES NO VAC AT PLANT FIXING FLOAT TIRES RETURN TO WASHED DOWN. NO HANDRAIL.  USED BUCKET TO WASH OFF DEBRIS OFF SHUTTER & GRATING NO V,6/2/2015,6/2/2015
SEWER MAINTENANCE,2015003288,,CLAREMONT AVE,,NO HANDRAIL. NOT SCHEDULED GREASED EQUIPMENT. UTILIZE SHOVEL RO REMOVE DEBRIS AND FLOATABLES OFF GRATING ALSO OFF HANDRAILING CHAIN HINGES NO VAC AT PLANT FIXING FLOAT TIRES RETURN TO WASHED DOWN. ,6/2/2015,6/2/2015
SEWER MAINTENANCE,2015003465,,RUTGERS AVE,WARNER AVE,"CLEANED THE NW AND SW CATCH BASINS
",6/2/2015,6/2/2015
SEWER MAINTENANCE,2015003467,,RUTGERS AVE,WADE ST,"CLEANED THE SW, NW, SE AND NE CATCH BASINS
",6/2/2015,6/2/2015
SEWER MAINTENANCE,2015003469,,MALLORY AVE,YALE AVE,"CLEANED THE SW AND NW CATCH BASINS
",6/2/2015,6/2/2015
SEWER MAINTENANCE,2015003482,,CLAREMONT AVE,ROSE AVE,"CLEANED THE NE AND SE CATCH BASINS
",6/2/2015,6/2/2015
SEWER MAINTENANCE,2015003575,14,LOTT ST,,"USED THE ELECTRIC EEL TO SERVICE THE SEWER
",6/3/2015,6/3/2015
SEWER MAINTENANCE,2015003576,60,SIEDLER ST,,"USED THE ELECTRIC EEL TO SERVICE THE SEWER
",6/3/2015,6/3/2015
SEWER MAINTENANCE,2015003577,450,BRAMHALL AVE,,"USED THE ELECTRIC EEL TO SERVICE THE SEWER
",6/3/2015,6/3/2015
SEWER MAINTENANCE,2015003578,230,PINE ST,,"USED THE ELECTRIC EEL TO SERVICE THE SEWER.
",6/3/2015,6/3/2015
SEWER MAINTENANCE,2015003579,311,WHITON ST,,"USED THE ELECTRIC EEL TO SERVICE THE SEWER
",6/3/2015,6/3/2015
SEWER MAINTENANCE,2015003580,312 - 314,HALLADAY ST,,"USED THE ELECTRIC EEL TO SERVICE THE SEWER
",6/3/2015,6/3/2015
SEWER MAINTENANCE,2015002657,28,DUNCAN AVE,,ON 4-21-15 THIS IS AN CUT-OUT THAT DONE BY ANOTHER CONTRACTOR AND NOT THE RESPONSIBILITY OF THE JCMUA.  THE MAIN SEWER IS FUNCTIONING PROPERLY.  ON ,6/3/2015,4/21/2015
SEWER MAINTENANCE,2015003210,43,RUTGERS AVE,,REMOVED OLD MANHOLE FRAME AND COVER.  USED 3-BAGS OF RAPID CEMENT AND 30-SHOVELS OF COLD PATCH TO INSTALL NEW 24-INCH MANHOLE FRAME AND COVER.,6/3/2015,6/2/2015
SEWER MAINTENANCE,2015003217,119,LEMBECK AVE,,"ON 5-30-15 AS PER M.MEYERS THE COMMON SEWER AT THIS LOCATION IS FUNCTIONING PROPERLY.  OWNER MUST SEEK PLUMBER FOR THE PROBLEM.  ON 6-2-15 USED THE ELECTRIC EEL TO SERVICE THE COMMON SEWER.  ON 6-3-15 JETTED THE COMMON SEWER FOR MAINTENANCE.


",6/3/2015,6/2/2015
SEWER MAINTENANCE,2015003261,121,VAN HORNE ST,,THERE ARE NO CATCH BASINS AT THIS LOCATION.  THE OWNER IS COMPLAINT ABOUT THE FRENCH DRAIN THAT IS LOCATED ON HER PROPERTY.  MR. HAYTAS INFORMED RESIDENT THAT THE DRAIN IN QUESTION IS HER RESPONSIBILITY.,6/3/2015,6/3/2015
SEWER MAINTENANCE,2015003267,200,INDUSTRIAL DR,,"THE MAIN SEWER IS SURCHARGED.
",6/3/2015,6/3/2015
SEWER MAINTENANCE,2015003274,204,LEXINGTON AVE,,PERFORMED A DYE TEST ON 5-25-15 THE JCMUA PERFOROMED A DYE TEST AT THIS LOCATION.  DYE WAS OBSERVED COMING OUT OF THE RESIDEN'TS SEWER LATERAL AT THIS LOCATION.  SENT A LETTER TO THE JC PLUMBING DEPARTMENT TO ISSUE PROPERTY OWNER A NOTICE OF VIOLATION.,6/3/2015,6/3/2015
SEWER MAINTENANCE,2015003312,,STEGMAN ST,VAN CLEEF ST,"ON 5-29-15	CLEANED THE NW AND SE CATCH BASINS AND CATCH BASIN NEAR THE SCHOOL.  ON 6-3-15 VACUUMED AND FLUSHED THE CATCH BASIN.  USED 3-BLOCKS, 20-BRICKS AND 2-BAGS OF RAPID CEMENT TO PERFORM THE NECESSARY SE CATCH BASIN

",6/3/2015,5/29/2015
SEWER MAINTENANCE,2015003423,,LIBERTY AVE,MANHATTEN AVE,"CLEANED THE NE, NW AND SE CATCH BASINS
",6/3/2015,6/1/2015
SEWER MAINTENANCE,2015003424,,BAY ST,GROVE ST,"JETTED AND VACUUMED THE SEWER
",6/3/2015,6/3/2015
SEWER MAINTENANCE,2015003426,341 - 347,GROVE ST,,"ON 6-2-15 CHECKED THE MAIN SEWER .  ON 6-3-15 VACUUMED AND FLUSHED THE REMAIN SEWERS TO RELEASE BLOCKAGE.
",6/3/2015,6/2/2015
SEWER MAINTENANCE,2015003335,,DUNCAN AVE,,PLEASE PERFORM MAINTENANCE ON THE REGULATOR CHAMBER. NO HANDRAIL OR CONCRETE SLAB.  FIRST HAD TO USED PINCH BARS TO UNCLOG REGULATOR BY POKING UPSTREAM TO CULTIVATE SLUDGE & DEBRIS OR BREAK UP TO ALLOW FLOW TO CONTINUE ALSO REMOVED DEB RIS OFF SHUTTER HIN,6/3/2015,6/3/2015
SEWER MAINTENANCE,2015003338,,SIP AVE,,"PLEASE PERFORM MAINTENANCE ON THE REGULATOR CHAMBER. NO GRATING, HANDRAIL OR CONCRETE SLAB.  UTILIZE RAKE TO CLEAN BARSCREEN REMOVED DEBRIS OFF LADDER ALSO WASHED DOWN CHAMBER EXERCISE REGULATOR NOTICE THAT 1 BOLT IS MISSING OFF LEFT HINGE POIN ALS FOUND ",6/3/2015,6/3/2015
SEWER MAINTENANCE,2015003341,,2ND ST,,NO GRATING OR CONCRETE SLAB.  UTILIZE RAKE TO CLEAN BARSCREEN ALSO USED SHOVEL TO REMOVE SLUDGE OFF FLOOR AREA EXERCISE REGULATOR REMOVED DERIS OFF SHUTTER HINGE POINTS AND HANDRAILING.  NOT SCHEDULED GREASED EQUIPMENT.  ,6/3/2015,6/3/2015
SEWER MAINTENANCE,2015003343,,6TH ST,,"NO GRATING, HANDRAIL OR CONCRETE SLAB.  UTILIZE RAKE TO CLEAN BARSCREEN REMOVED DEBRIS OFF LADDER OUT OF TIDEGATES ALSO CLEAN OUT VLAVE EXERCISE REGULATOR USED SHOVEL TO REMOVE SLUDGE OUT OF PIT ALSO REMOVED DEBRIS OFF CHAIN SHUTTER & HINGE POINTS.  NOT S",6/3/2015,6/3/2015
SEWER MAINTENANCE,2015003345,,6TH ST,,NOT SCHEDULED GREASED EQUIPMENT.  UTILIZE RAKE TO CLEAN BARSCREEN ALSO REMOVED DEBRIS & FLOATABLES OUT OF TIDEGATE ALSO WASHED DOWN CHAMBER EXERCISE REGULATOR REMOVED DEBRIS OFF SHUTTER & HINGES POINTS ALSO WASHED DOWN CHAMBER. ,6/3/2015,6/3/2015
SEWER MAINTENANCE,2015003346,,14TH ST,,"NOT SCHEDULED GREASED EQUIPMENT.  UTILIZE RAKE TO CLEAN BARSCREEN ALSO REMOVED DEBRIS & FLOATABLES OUT OF TIDEGATE ALSO WASHED DOWN CHAMBER EXERCISE REGULATOR REMOVED DEBRIS OFF SHUTTER & HINGES POINTS ALSO WASHED DOWN CHAMBER. NO GRATING, HANDRAIL OR CON",6/3/2015,6/3/2015
SEWER MAINTENANCE,2015003347,,SECAUCUS RD,,REMOVED FLOATABLES DOWNSTREAM.  GRIT BUILDUP LOWER WILL WASH ASAP. . MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS MILD. ,6/3/2015,6/3/2015
SEWER MAINTENANCE,2015003349,,MANHATTEN AVE,,"REMOVED FLOATABLES DOWNSTREAM , SLIGHT GRIT BUILDUP WILL WASH ASAP. MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS MILD. ",6/3/2015,6/3/2015
SEWER MAINTENANCE,2015003351,,DANFORTH AVE,,GRATING DIRTY.  RESET GRATING AT NET #1 NEEDS TO BE TAC WELD NOTIFIED W. GOLDEN.  MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS MILD. ,6/3/2015,6/3/2015
SEWER MAINTENANCE,2015003565,,GRAND ST,VAN VORST ST,"ON 5-26-15 TRIED TO FILL HOLE, HOWEVER, IT NEEDS BRICKWORK.  ON 6-3-15 VACUUMED AND FLUSHED THE CATCH BASIN. USED 1-BLOCK, 1-BAG OF RAPID CEMENT, 3 1/2 BUCKETS OF QP STONE AND 5-SHOVELS OF COLD PATCH TO PERFORM THE NECESSARY BRICKWORK INSIDE THE CATCH BAS",6/3/2015,5/26/2015
SEWER MAINTENANCE,2015003470,,NORTH ST,SUMMIT AVE,"CLEANED THE NE AND SE CATCH BASINS.  USED 8-BRICKS 6-BLOCKS, 24-BRICKS, 3-BAGS OF RAPID CEMENT, 3-SHOVELS OF QP STONE AND 2-SHOVELS OF COLD PATCH TO PERFORM THE NECESSARY BRICKWORK INSIDE THE SW, SE, NE CATCH BASINS.

",6/3/2015,6/3/2015
SEWER MAINTENANCE,2015003471,,DANFORTH AVE,ROSE AVE,"CLEANED AND PERFUMED THE NE AND NW CATCH BASINS
",6/3/2015,6/3/2015
SEWER MAINTENANCE,2015003472,,DANFORTH AVE,OLD BERGEN RD,"CLEANED THE NE CATCH BASIN
",6/3/2015,6/3/2015
SEWER MAINTENANCE,2015003473,,ARLINGTON AVE,MYRTLE AVE,"CLEANED THE SE CATCH BASIN
",6/3/2015,6/3/2015
SEWER MAINTENANCE,2015003474,,ARLINGTON AVE,BAYVIEW AVE,"CLEANED THE NE CATCH BASIN
",6/3/2015,6/3/2015
SEWER MAINTENANCE,2015003476,,ARLINGTON AVE,CLAREMONT AVE,"CLEANED THE NW, SE, SW AND NE CATCH BASINS
",6/3/2015,6/3/2015
SEWER MAINTENANCE,2015003478,,OCEAN AVE,STEVENS AVE,"CLEANED THE NW AND SW CATCH BASINS.
",6/3/2015,6/3/2015
SEWER MAINTENANCE,2015003479,,WARNER AVE,PARNELL PL,"CLEANED THE SW AND SE CATCH BASIN.
",6/3/2015,6/3/2015
SEWER MAINTENANCE,2015003486,,BERNIUS CT,VIRGINIA AVE,"ON 5-12-15 JETTED AND VACUUMED THE SW CATCH BASIN.  ON 6-3-15 CLEANED THE CATCH BASIN
",6/3/2015,5/12/2015
SEWER MAINTENANCE,2015003487,,LUDLOW ST,SHEFFIELD ST,"CLEANED THE NE, NW, SE AND SW CATCH BASINS.
",6/3/2015,6/3/2015
SEWER MAINTENANCE,2015003619,,2ND ST,ERIE ST,"CCTV INSPECTION OF SEWER REVEALED NO FAULTS OR DEFECTS TO CAUSE THE STREET TO COLLAPSE.  UNITED WATER REPAIRED A WATER MAIN BREAK EARLIER AND NEVER RESTORED THE STREET PROPERLY.  UNITED WATER WAS CONTACTED TO RESTABILIZE THE STREET.
",6/3/2015,6/3/2015
SEWER MAINTENANCE,2015003658,405,OGDEN AVE,,"CCTV INSPECTION REVEALED A WATER LEAK IS PRESENT AT THIS LOCATION.  UNITED WATER WAS NOTIFIED OF SITUATION
",6/3/2015,6/3/2015
SEWER MAINTENANCE,2015003660,,LINCOLN ST,SUMMIT AVE,"CCTV INSPECTION REVEALED NO FAULTS OR BLOCKAGES THAT WOULD CAUSE THE STREET TO COLLAPSE.
",6/3/2015,6/3/2015
SEWER MAINTENANCE,2015003581,36,ERIE ST,,"USED THE ELECTRIC EEL TO SERVICE THE SEWER
",6/4/2015,6/4/2015
SEWER MAINTENANCE,2015003582,151,ERIE ST,,"USED THE ELECTRIC EEL TO SERVICE THE SEWER
",6/4/2015,6/4/2015
SEWER MAINTENANCE,2015003584,448,MOMMOUTH ST,,"USED THE ELECTRIC EEL TO SERVICE THE SEWER
",6/4/2015,6/4/2015
SEWER MAINTENANCE,2015003585,,15TH ST,ERIE ST,"USED THE ELECTRIC EEL TO SERVICE THE SEWER
",6/4/2015,6/4/2015
SEWER MAINTENANCE,2015003586,283,2ND ST,,"USED THE ELECTRIC EEL TO SERVICE THE SEWER
",6/4/2015,6/4/2015
SEWER MAINTENANCE,2015003324,100,GARFIELD AVE,,"MAIN SEWER IS FUNCTIONING PROPERLY.
",6/4/2015,6/3/2015
SEWER MAINTENANCE,2015003354,36,CARLTON AVE,,"ON 5-29-15 MAIN SEWER IS FUNCTIONING PROPERLY.  HOWEVER, THERE IS A HOLE IN THE STREET.  USED 50-SHOVELS OF 3/4 STONE AND 5-SHOVELS OF COLD PATCH TO BACKFILL AND TAMPER HOLE IN STREET.  ON 6-4-15 USED 1-YARD OF 3/4 STONE AND 6-SHOVELS OF COLD PATCH TO FIL",6/4/2015,5/29/2015
SEWER MAINTENANCE,2015003488,,ARLINGTON AVE,UNION ST,"CLEANED THE SW, NW AND NE CATCH BASINS
",6/4/2015,6/4/2015
SEWER MAINTENANCE,2015003489,,ARLINGTON AVE,CARTERET AVE,"CLEANED THE SE, SW AND NW CATCH BASINS
",6/4/2015,6/4/2015
SEWER MAINTENANCE,2015003490,,MAPLE ST,PINE ST,"CLEANED THE NW AND SW CATCH BASINS.
",6/4/2015,6/4/2015
SEWER MAINTENANCE,2015003491,,MAPLE ST,MONITOR ST,"CLEANED THE SE, NE AND NW CATCH BASINS
",6/4/2015,6/4/2015
SEWER MAINTENANCE,2015003395,,MINA DR,,NOT SCHEDULED GREASED EQUIPMENT,6/4/2015,6/4/2015
SEWER MAINTENANCE,2015003396,,SIP AVE,,NOT SCHEDULED GREASED EQUIPMENT REPAIR OR ADJUST BOLTS TRANSMISSING OR STOP BLOCK ADJUSTMENT LASO REPLACED A FEW WEIGHTS THAT WAS IN WTAR BACK ON SHUTTER IDENTIFIED THAT PLACE OF METAL AS UNDERNEATHER REGULATOR STOP BLOCK,6/4/2015,6/4/2015
SEWER MAINTENANCE,2015003397,,CLENDENNY AVE,,NOT SCHEDULED GREASED EQUIPMENT REPAIR OR ADJUST BOLTS TRANSMISSING OR STOP BLOCK ADJUSTMENT LASO REPLACED A FEW WEIGHTS THAT WAS IN WTAR BACK ON SHUTTER IDENTIFIED THAT PLACE OF METAL AS UNDERNEATHER REGULATOR STOP BLOCK,6/4/2015,6/4/2015
SEWER MAINTENANCE,2015003405,,CLAREMONT AVE,,NOT SCHEDULED GREASED EQUIPMENT REPAIR OR ADJUST BOLTS TRANSMISSING OR STOP BLOCK ADJUSTMENT LASO REPLACED A FEW WEIGHTS THAT WAS IN WTAR BACK ON SHUTTER IDENTIFIED THAT PLACE OF METAL AS UNDERNEATHER REGULATOR STOP BLOCK,6/4/2015,6/4/2015
SEWER MAINTENANCE,2015003406,,FISK ST,,NOT SCHEDULED GREASED EQUIPMENT REPAIR OR ADJUST BOLTS TRANSMISSING OR STOP BLOCK ADJUSTMENT LASO REPLACED A FEW WEIGHTS THAT WAS IN WTAR BACK ON SHUTTER IDENTIFIED THAT PLACE OF METAL AS UNDERNEATHER REGULATOR STOP BLOCK,6/4/2015,6/4/2015
SEWER MAINTENANCE,2015003415,,DUNCAN AVE,,GRIT BUILDUP SLIGHT.  MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS CLOUDY. ,6/4/2015,6/4/2015
SEWER MAINTENANCE,2015003416,,ROUTE 440,,"DUMPED NETS, SENT CREW ON EAST SIDE CHAMBER INSPECTION MDS. WEATHER CONDITIONS CLOUDY. ",6/4/2015,6/4/2015
SEWER MAINTENANCE,2015003417,,BROWN PL,,VERIFY WITH CREW MDS. MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS CLOUDY. ,6/4/2015,6/4/2015
SEWER MAINTENANCE,2015003419,,RICHARD ST,,VERIFY WITH CREW MDS. MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS CLOUDY. ,6/4/2015,6/4/2015
SEWER MAINTENANCE,2015003420,,CLAREMONT AVE,CARTERET AVE,DIRTY GRATING.  VERIFY WITH CREW. MDS.  MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS CLOUDY. ,6/4/2015,6/4/2015
SEWER MAINTENANCE,2015003421,,MILL CREEK,,VERIFY WITH CREW MDS. MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS CLOUDY. ,6/4/2015,6/4/2015
SEWER MAINTENANCE,2015003430,,ESSEX ST,,CHAIN PENDING. NOTIFIED W. GOLDEN. WEATHER CONDITIONS CLOUDY. ,6/4/2015,6/4/2015
SEWER MAINTENANCE,2015003431,,2ND ST,,WATER ABOVE GRATING.  MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS CLOUDY. ,6/4/2015,6/4/2015
SEWER MAINTENANCE,2015003432,,6TH ST,,WATER HIGH GRIT BUILDUP. MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS CLOUDY. ,6/4/2015,6/4/2015
SEWER MAINTENANCE,2015003433,,14TH ST,,MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS CLOUDY. ,6/4/2015,6/4/2015
SEWER MAINTENANCE,2015003561,,SIP AVE,STATE HWY 1&9,"ON 6-2-15 REMOVED ROCKS AND MUD FROM THE TIDE GATE AT THIS LOCATION.  ON 6-4-15 REMOVED ROCKS FROM INSIDE THE TIDE GATE.

",6/4/2015,6/2/2015
SEWER MAINTENANCE,2015003042,,FERRY ST,NEW YORK AVE,"ON 5-19-15 CLEANED THE SW, NW, SE AND NE CATCH BASINS.  ON 6-4-15 VACUUMED THE CATCH BASINS.  USED 3-BLOCKS, 30-BRICKS AND 3-BGS OF RAPID CEMENT TO PERFORM THE NECESSARY BRICKWORK INSIDE THE CATCH BASIN.


",6/4/2015,5/19/2015
SEWER MAINTENANCE,2015003484,,BRAMHALL AVE,VAN HORNE ST,"CLEANED THE NE, SE, SW, NW AND S-SE CATCH BASINS
",6/4/2015,6/4/2015
SEWER MAINTENANCE,2015003485,,GARFIELD AVE,WINFIELD AVE,"CLEANED THE NE, SW AND NW CATCH BASINS
",6/4/2015,6/4/2015
SEWER MAINTENANCE,2015003896,,CAVEN PONT RD,,"VACUUMED PUMPING STATION 3
",6/4/2015,6/4/2015
SEWER MAINTENANCE,2015003897,,STATE HWY 440,,"VACUUMED PUMPING STATION 2
",6/4/2015,6/4/2015
SEWER MAINTENANCE,2015003121,,CHAPEL AVE,RUTGERS AVE,"ON 5-7-15 CLEANED THE NE CATCH BASIN.  ON 6-5-15 CLEANED THE NE CATCH BASIN

",6/5/2015,5/7/2015
SEWER MAINTENANCE,2015003327,376,CATOR AVE,,"ON 6-4-15 CHECKED THE MAIN SEWER AND ITS FUNCTIONING PROPERLY.  ON 6-5-15 CCTV INSPECTION ALONG WITH DYE TESTING REVEALED THAT RESIDENT HAS A DEFECTIVE SEWER LATERAL.  LETTER WAS SENT THE JC PLUMBING DEPT, ON 6-9-15, TO ISSUED HOMEOWNER A NOTICE OF VIOLAT",6/5/2015,6/4/2015
SEWER MAINTENANCE,2015003333,181 - 185,NELSON AVE,,"VACUUMED BOTH CATCH BASINS FOR THE CONSTRUCTION CREW.  USED 5-BLOCKS, 6-BRICKS AND 3-BGS OF RAPID CEMENT TO PERFORM THE NECESSARY BRICKWORK INSIDE THE CATCH BASIN AT 181 NELSON AVE.  USED 8-BLOCKS, 8-BRICKS AND 3-BGS OF RAPID CEMENT TO RAISE THE CATCH BAS",6/5/2015,6/4/2015
SEWER MAINTENANCE,2015003407,,DANFORTH AVE,,"NO GRATING, HANDRAIL OR CONCRETE SLAB.  WHEN WE FIRST GOT TO JOB OBSERVED WEIR OVER FLOWING SOLE PROBLEM REMOVED SOME FLOATABLES OUT OF WEIR OFF LADDERS. ",6/5/2015,6/5/2015
SEWER MAINTENANCE,2015003408,,DANFORTH AVE,,NOT SCHEDULED GREASED EQUIPMENT REPAIR UNDER WATER SHUTTER. FIRST WE HAD TO EXERCISE REGULATOR TO ALL FLOW TO CONTINUE WAS CLOSED WATER LEVEL WAS ELEVATED NO VAC OUT TODAY OR A OPERATOR SO WE DIDN'T WASHED DOWN CHAMBER BARSCREEN CHAMBER GAS LEVEL ELEVATED,6/5/2015,6/5/2015
SEWER MAINTENANCE,2015003409,,DANFORTH AVE,,NO HANDRAIL OR CONCRETE.  NOT SCHEDULED GREASED EQUIPMENT REPAIR OR ADJUST BOLTS TRANSMISSING OR STOP BLOCK ADJUSTMENT LASO REPLACED A FEW WEIGHTS THAT WAS IN WTAR BACK ON SHUTTER IDENTIFIED THAT PLACE OF METAL AS UNDERNEATHER REGULATOR STOP BLOCK,6/5/2015,6/5/2015
SEWER MAINTENANCE,2015003410,,BROWN PL,PRINCETON AVE,"UTILIZE RAKE TO CLEAN BARSCREEN REMOVED 3 BUCKETS OF ROCKS & BRICKS OUT OF CHAMBER. NO GRATING, HANDRAIL OR CONCRETE SLAB.",6/5/2015,6/5/2015
SEWER MAINTENANCE,2015003411,,PRINCETON AVE,,"NO BARSCREEN, GRATING, HANDRAIL AND CONCRETE SLAB.  REMOVED 1 SAND BAG OUT OF PIPE ALSO 5 BUCKEST OF BRICKS & ROCK NEED TO SCHEDULED BUCKET TRUCK. ",6/5/2015,6/5/2015
SEWER MAINTENANCE,2015003412,,BROWN PL,,UTILIZE RAKE TO CLEAN BARSCREEN REMOVED 3 BUCKETS OF ROCK OUT OF CHAMBER EXERCISE REGULATOR RETURNING BACK TO PLANT TO REPLACE FLEX HOLES & PLANT TO REPLACE AS WELL AS COME ALONG FOR WORK ON 6/6/15.,6/5/2015,6/5/2015
SEWER MAINTENANCE,2015003434,,ROUTE 440,,DUMPED NETS DRAINED CONTAINER LOADED GENERATOR LIGHTS ON 3959 FOR 6/6 JOB WITH REGULATOR CREW VERIFY. WEATHER CONDITIONS CLOUDY. ,6/5/2015,6/5/2015
SEWER MAINTENANCE,2015003435,,BROWN PL,,CHANGED INTERUPTED BY DOWN POUR.  REMOVED FLOATABLES DOWNSTREAM 11 SCOOPS AFTER CHANGE.  SLIGHT GRIT BUILDUP WILL WASH ASAP.  MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS CLOUDY. ,6/5/2015,6/5/2015
SEWER MAINTENANCE,2015003437,,FISK ST,,MONITOR FLOATABLES UPSTREAM OF NETTING CHAMBER. WEATHER CONDITIONS CLOUDY. ,6/5/2015,6/5/2015
SEWER MAINTENANCE,2015003448,,MOMMOUTH ST,9TH ST,JETTED AND VACUUMED MANHOLE N352 TO N354,6/5/2015,6/5/2015
SEWER MAINTENANCE,2015003450,,CLINTON AVE,MADISON AVE,"CLEANED TWO (2) CATCH BASINS.
",6/5/2015,6/5/2015
SEWER MAINTENANCE,2015003451,,MARTIN LUTHER KING DR,OAK ST,CLEANED AND PERFUMED THE SE AND NE CATCH BASINS.,6/5/2015,6/5/2015
SEWER MAINTENANCE,2015003453,,AVENUE C,MERRITT ST,"CLEANED THE NW AND SW CATCH BASINS
",6/5/2015,6/5/2015
SEWER MAINTENANCE,2015003454,,CATOR AVE,RUTGERS AVE,"CLEANED THE NE CATCH BASIN.
",6/5/2015,6/5/2015
SEWER MAINTENANCE,2015003455,,NEW ST,RUTGERS AVE,"CLEANED THE NE CATCH BASIN
",6/5/2015,6/5/2015
SEWER MAINTENANCE,2015003456,,MCADOO AVE,RUTGERS AVE,"ON 6-2-15 CLEANED THE NW AND SW CATCH BASINS.  ON 6-5-15 CLEANED THE SW AND NW CATCH BASINS

",6/5/2015,6/5/2015
SEWER MAINTENANCE,2015003636,394,CATOR AVE,,CCTV INSPECTION REVEALED NO FAULTS OR BREAKS WITH THE JCMUA'S SEWER.  POSSIBLE WATER LEAK EXISTS AT THIS LOCATION.  UNITED WATER WAS NOTIFIED OF SITUATION. ,6/5/2015,6/5/2015
SEWER MAINTENANCE,2015002554,,CONGRESS ST,PIERCE AVE,"ON 4-20-15 CLEANED THE SW CATCH BASIN.  ON 5-29-15 CLEANED THE NE CATCH BASIN.  ON 6-5-15 USED 2-BLOCKS, 32-BRICKS, 2-BGS OF RAPID CEMENT AND 3-BRICK PAVERS TO PERFORM THE NECESSARY BRICKWORK INSIDE THE NE CATCH BASIN

",6/5/2015,4/20/2015
SEWER MAINTENANCE,2015003898,,CONGRESS ST,PIERCE AVE,"VACUUMED THE SEWER
",6/5/2015,6/5/2015
SEWER MAINTENANCE,2015002912,,RUTGERS AVE,SHEFFIELD ST,"ON 5-19-15 CLEANED AND PERFUMED THE NE CATCH BASIN.  ON 6-5-15 CLEANED THE NE CATCH BASIN.

",6/5/2015,5/18/2015
SEWER MAINTENANCE,2015003414,,ESSEX ST,,UTILIZE VAC TO VAC OUT FLOATABLES OUT OF WATER ALSO USED WATER PRESSURE & SCOOP NET AND BUCKET REMOVED 5 LARGE GREASE BALLS. ,6/6/2015,6/6/2015
SEWER MAINTENANCE,2015004236,,KENSINGTON AVE,WEST SIDE AVE,"VACUUMED AND FLUSHED THE SEWER
",6/8/2015,6/8/2015
